length,width,size,distance,class
28.7967,16.0021,2.6449,81.8828,g
31.6036,11.7235,2.5185,205.261,g
162.052,136.031,4.0612,256.788,g
23.8172,9.5728,2.3385,116.737,g
75.1362,30.9205,3.1611,356.462,g
51.624,21.1502,2.9085,238.098,g
48.2468,17.3565,3.0332,219.087,g
26.7897,13.7595,2.5521,237.134,g
96.2327,46.5165,4.154,248.226,g
46.7619,15.1993,2.5786,102.251,g
62.7766,29.9104,3.3331,323.094,g
18.8562,16.46,2.4385,162.848,g
45.6321,22.71,3.0441,178.255,g
33.1818,12.4655,2.4955,41.3816,g
60.458,33.1061,3.1944,372.568,g
29.4741,22.4581,2.6258,214.126,g
36.1741,17.6865,2.946,191.455,g
46.2915,16.0328,2.7756,75.5234,g
46.0588,18.787,3.2217,180.783,g
44.7394,15.6364,2.638,221.806,g
91.6423,71.8818,3.8484,285.414,g
86.0486,21.8287,3.3587,302.553,g
90.5299,17.8721,3.033,272.038,g
20.3836,9.0462,2.3365,66.1667,g
87.2384,27.935,2.8848,342.504,g
107.338,29.1356,3.5265,293.781,g
27.2304,19.2817,2.6375,104.283,g
26.7065,18.907,2.6781,63.7637,g
23.5647,9.9926,2.2095,185.189,g
34.7486,19.2286,2.5629,109.445,g
50.4829,25.9699,3.3194,141.601,g
87.4217,26.7866,3.4231,371.79,g
34.9205,15.9621,2.8457,154.712,g
28.6609,19.1223,2.8609,199.059,g
75.2057,31.6833,3.1334,282.915,g
84.61,36.4657,3.6809,258.597,g
45.6094,20.8103,3.0438,165.582,g
37.742,24.3346,3.0404,131.601,g
38.1817,15.9235,2.6906,177.008,g
73.6263,35.582,3.4533,372.317,g
63.3453,24.3855,3.4233,291.553,g
16.7608,11.3962,2.2989,169.688,g
27.6746,18.9149,2.5422,223.241,g
13.2617,10.7145,2.1319,107.851,g
61.6463,21.171,3.4303,234.581,g
18.6533,15.1674,2.4338,55.7509,g
38.1627,25.1091,3.1041,188.124,g
12.974,10.9058,2.1021,168.245,g
63.2886,26.427,3.4434,302.897,g
24.999,14.6867,2.5434,174.003,g
35.9913,19.4494,2.7466,175.99,g
44.0846,23.0143,2.8974,210.596,g
65.3574,22.3483,2.7376,272.68,g
43.7724,20.353,2.8982,273.837,g
33.4858,15.0766,2.7969,169.066,g
92.8723,25.685,3.1553,304.585,g
19.6562,9.7376,2.238,118.341,g
96.8578,39.4755,3.9903,340.996,g
95.5207,34.5134,4.1295,260.879,g
22.7945,14.8676,2.567,110.258,g
66.7336,24.94,3.4357,223.912,g
45.0172,18.4512,2.699,178.647,g
99.6416,13.5477,2.4362,57.7231,g
20.8112,7.1717,2.1255,235.951,g
96.3755,31.3902,3.359,307.321,g
30.3331,14.9817,2.4526,74.5242,g
20.9491,7.0366,2.1414,146.512,g
49.6143,28.1482,3.2641,150.761,g
